"Reference","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Price","Manufacturer Product Number "
"C3","10uF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2208231630_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.pdf","0.009USD",""
"TP1,TP2","TestPoint","","","","","~","",""
"U6","L86-M33","","","","L86:XCVR_L86-M33","","","L86-M33"
"C1,C6,C9,C12,C17,C20,C25,C27,C28,C29,C31","100nF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf","0.004USD",""
"C10,C11","20pF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG200J500NT_C1554.pdf","0.004USD",""
"D3","Green","","","","PCM_JLCPCB:D_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_1806151820_Hubei-KENTO-Elec-KT-0805G_C2297.pdf","0.014USD",""
"R5,R13","75Ω","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010216_UNI-ROYAL-Uniroyal-Elec-0603WAF750JT5E_C4275.pdf","0.004USD",""
"C8","10nF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195.pdf","0.005USD",""
"Q2,Q3","AO3400A","","","","PCM_JLCPCB:Q_SOT-23","https://www.lcsc.com/datasheet/lcsc_datasheet_1811081213_Alpha---Omega-Semicon-AO3400A_C20917.pdf","0.080USD",""
"C4,C5,C15,C18,C26","4.7uF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.pdf","0.008USD",""
"R11","200Ω","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF2000TCE_C25087.pdf","0.004USD",""
"R6,R14","22Ω","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF220JTCE_C25092.pdf","0.004USD",""
"R1,R2,R3,R4,R7,R9,R10,R12","5.1kΩ","","","","PCM_JLCPCB:R_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010045_UNI-ROYAL-Uniroyal-Elec-0402WGF5101TCE_C25905.pdf","0.004USD",""
"C21","1uF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf","0.006USD",""
"U5","STM32F411","","","","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://atta.szlcsc.com/upload/public/pdf/source/20151026/1457707507170.pdf","",""
"U3","BMP280","","","","Package_LGA:Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering","https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001.pdf","",""
"D5,D6","Red","","","","PCM_JLCPCB:D_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","0.016USD",""
"U2","W25Q16JVSS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","https://www.winbond.com/hq/support/documentation/levelOne.jsp?__locale=en&DocNo=DA00-W25Q16JV.1","",""
"P1","USB_C_Plug","","","","USB-C:USB-C","","",""
"BATT1,LIPO1,UART2","Connector","","","","easyeda2kicad:CONN-TH_B2B-XH-A-LF-SN","~","",""
"MISO1,MISO2,MOSI1,MOSI2,SCK1,SCK2","TestPoint","","","","TestPoint:TestPoint_Keystone_5019_Miniature","~","",""
"AE1","915MHZ Antenna","","","","Connector_Coaxial:SMA_BAT_Wireless_BWSMA-KWE-Z001","~","",""
"U9","AP7361C-33E","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.diodes.com/assets/Datasheets/AP7361C.pdf","",""
"SWD1,UART1","Conn_01x04_Pin","","","","Connector_PinHeader_2.00mm:PinHeader_1x04_P2.00mm_Vertical","~","",""
"U1","ICM-42605","","","","easyeda2kicad:LGA-14_L3.0-W2.5-P0.50-TL","","",""
"SW2","SW_SPDT","","","","SW-SHOUHAN_MST-22D18G23J_C2875122:SW-SMD_SHOUHAN_MST-22D18G23J_C2875122","kicad-embed://SPDT.kicad_mod","",""
"C7","2.2uF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A225MQ5NSNC_C12530.pdf","",""
"U7","915MHz","","","","Lora1276:COMM-SMD_LORA1276-C1-915MHZ","https://atta.szlcsc.com/upload/public/pdf/source/20220425/530C73F5612432B98CDC262676D34B0B.pdf","",""
"X1","Shenzhen SCTF Elec SX2B12.000F1010F30","","","","Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm","https://www.lcsc.com/datasheet/lcsc_datasheet_2403291504_YXC-Crystal-Oscillators-X322512MSB4SI_C9002.pdf","",""
"D1","PMEG3015EJ","","","","Diode_SMD:D_SOD-323F","https://assets.nexperia.com/documents/data-sheet/PMEG3015EH_EJ.pdf","",""
"RESET1,RESET2","TS1101S","","","","easyeda2kicad:SW-SMD_4P-L4.5-W4.5-P3.15-LS7.5-TL","","",""
